2022-04-25 14:34:02.982 UTC [21] LOG:  database system was shut down at 2022-04-19 15:02:23 UTC
2022-04-25 14:34:03.011 UTC [1] LOG:  database system is ready to accept connections
2022-04-25 14:34:03.876 UTC [28] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:34:03.877 UTC [28] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:34:03.935 UTC [28] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:34:03.951 UTC [28] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:34:03.959 UTC [28] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:34:03.971 UTC [28] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:40:03.647 UTC [41] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:40:03.649 UTC [41] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:40:03.683 UTC [41] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
